iter	Passed	Remaining
242	576	1795
243	577	1787
244	577	1780
245	584	1791
246	585	1786
247	589	1786
248	590	1780
249	591	1773
250	593	1771
251	595	1766
252	596	1762
253	598	1758
254	600	1754
255	606	1763
256	609	1760
257	610	1755
258	611	1750
259	613	1745
260	615	1741
261	623	1757
262	624	1751
263	625	1744
264	627	1740
265	628	1735
266	630	1730
267	639	1745
268	640	1739
269	657	1778
270	659	1773
271	660	1768
272	661	1762
273	662	1756
274	667	1758
275	669	1755
276	670	1749
277	671	1744
278	673	1739
279	674	1734
280	685	1754
281	687	1750
282	688	1744
283	690	1740
284	697	1749
285	699	1745
286	731	1816
287	732	1811
288	733	1805
289	735	1799
290	739	1801
291	746	1810
292	753	1817
293	754	1811
294	755	1805
295	759	1806
296	785	1858
297	816	1923
298	817	1916
299	818	1910
300	821	1906
301	832	1924
302	834	1918
303	836	1914
304	837	1907
305	844	1915
306	846	1910
307	847	1904
308	849	1900
309	851	1894
310	852	1887
311	858	1892
312	864	1898
313	866	1892
314	868	1887
315	879	1903
316	884	1906
317	889	1907
318	897	1917
319	899	1912
320	901	1907
321	903	1901
322	904	1895
323	905	1889
324	911	1892
325	915	1892
326	916	1886
327	919	1884
328	920	1878
329	931	1892
330	933	1886
331	934	1880
332	935	1874
333	936	1867
334	948	1881
335	950	1878
336	951	1872
337	952	1866
338	963	1877
339	964	1871
340	965	1865
341	966	1859
342	967	1852
343	968	1846
344	974	1850
345	979	1850
346	980	1844
347	981	1838
348	998	1862
349	1008	1872
350	1010	1868
351	1011	1862
352	1012	1856
353	1014	1850
354	1015	1845
355	1025	1854
356	1027	1850
357	1028	1844
358	1029	1838
359	1034	1838
360	1040	1840
361	1078	1900
362	1079	1894
363	1085	1897
364	1090	1897
365	1091	1891
366	1093	1886
367	1095	1881
368	1099	1880
369	1101	1875
370	1102	1870
371	1104	1863
372	1105	1858
373	1109	1856
374	1110	1851
375	1117	1854
376	1118	1849
377	1121	1845
378	1130	1851
379	1132	1847
380	1133	1841
381	1134	1835
382	1135	1829
383	1137	1823
384	1141	1823
385	1142	1817
386	1143	1811
387	1144	1806
388	1146	1801
389	1148	1795
390	1149	1790
391	1150	1784
392	1151	1779
393	1157	1779
394	1158	1774
395	1160	1769
396	1178	1789
397	1179	1784
398	1180	1778
399	1181	1772
400	1182	1766
401	1183	1761
402	1189	1761
403	1190	1756
404	1191	1750
405	1193	1745
406	1194	1740
407	1195	1734
408	1198	1731
409	1199	1725
410	1204	1726
411	1206	1721
412	1207	1715
413	1208	1710
414	1209	1705
415	1210	1699
416	1212	1695
417	1214	1690
418	1220	1692
419	1227	1694
420	1228	1690
421	1230	1685
422	1236	1687
423	1238	1682
424	1239	1677
425	1242	1673
426	1243	1668
427	1244	1663
428	1245	1657
429	1252	1660
430	1253	1655
431	1255	1650
432	1256	1645
433	1258	1640
434	1260	1636
435	1261	1631
436	1269	1635
437	1270	1630
438	1271	1625
439	1275	1623
440	1284	1628
441	1303	1645
